,braveid,bravename,bravesex,braveage,braveattack,monsterid,monstername,monsterdef,damage
0,574,OkiYuuri,女,28,621,167,だいまどう,8.335544330652267,277.0814902313729
1,361,IwashitaSatoko,女,16,851,321,亡者のひとだま,18.347489980942544,309.5390968904609
2,142,NakajimaAi,女,38,50,351,ブラックチャック,97.71733805715151,1.4553229976692375
3,199,FujisawaYumi,女,44,575,87,ひとくいばこ,22.811596711110827,58.30318198480223
4,1000,SuganoNaoko,女,27,922,118,ボーンナイト,9.428769482295717,421.3091643552736
5,159,KasaiHiroji,男,52,917,175,テラノライナー,84.04174681926754,23.348970145353206
6,483,FushimiToshiaki,男,48,726,232,バラモスブロス,2.809959902313919,592.3033386471179
7,739,FukuyamaYoshio,男,42,267,125,ピンクボンボン,31.753240550291896,21.707226853577136
8,863,NakazatoKenji,男,47,329,97,ブラウニー,68.21795794896079,11.97714710554885
9,856,NagataToshio,男,34,268,164,キースドラゴン,81.51892517840334,11.260656695042107
10,945,ShindouYuuha,女,16,478,294,おんせんスライム,82.6314745416439,41.28642210353188
11,330,HorikawaYoshihisa,男,26,430,183,デンデン竜,57.84780952130944,30.33185792817895
12,742,HamaKazuya,男,32,114,300,バロン版キラーマシン,47.237913485728264,8.653487432897714
13,294,HamaHaruki,男,17,277,23,おばけキャンドル,23.39501927846982,79.55946719880626
14,606,BanKousei,男,18,16,331,ガニラス,53.86825235298686,1.7854824823075017
15,472,KitaAimi,女,40,934,235,おばけトマト,15.957846352310423,165.6938145999724
16,284,KitayamaSaya,女,47,37,36,しのどれい,55.22244149635039,1.4490771628850996
17,462,OobayashiSaya,女,21,596,116,ベビル,98.35492411844406,31.221731592900312
18,647,NinomiyaYasuyoshi,男,39,222,38,おおくちばし,35.21326656861072,18.397676410869934
19,323,KurosawaMasao,男,27,238,2,ドラキー,50.07473003378037,18.925886466957188
20,924,SawamuraKarin,女,33,161,33,キラースコップ,24.557522455088765,22.33250368025672
21,960,YokomizoRui,男,17,999,162,ドロルメイジ,22.28590311952594,278.90107329704705
